Recommended_Calories,Recommended_Protein,Recommended_Carbs,Recommended_Fats
1391,102,131,51
839,139,135,45
3025,98,354,151
1745,127,149,45
2221,96,395,79
1079,182,366,37
2715,170,272,70
2741,78,289,103
2056,141,165,80
1300,160,230,17
2011,77,87,101
2120,177,153,111
1297,140,183,117
2037,119,271,122
2676,109,438,91
2505,83,358,39
1622,108,175,71
1983,107,128,76
1198,182,224,41
906,119,360,58
2744,77,232,121
2932,173,364,91
1672,94,289,42
1155,132,382,69
3002,144,202,129
2834,114,273,74
1663,75,217,59
1969,99,286,94
2408,77,332,63
1708,202,162,122
1621,146,378,114
2885,112,340,76
1125,147,297,98
2287,116,185,50
1358,108,97,66
2218,49,196,143
2583,142,323,102
2122,158,200,51
1142,123,237,26
2447,147,373,93
1491,164,260,55
2115,68,347,81
1171,122,369,88
2321,71,245,113
1730,162,292,61
1945,174,132,63
2962,78,237,107
1528,164,308,126
1823,145,141,36
2895,87,251,157
2012,199,181,91
1098,171,121,38
2418,124,72,37
2435,142,236,131
2124,145,184,142
2545,170,155,143
2298,184,225,21
1624,149,235,136
2429,176,122,49
1763,91,349,125
2489,158,381,135
2948,89,127,106
1412,108,285,51
1616,63,399,46
1284,195,83,100
2024,158,359,122
2919,108,310,112
3210,85,287,164
1729,103,228,19
1110,186,306,68
870,162,399,121
3160,165,135,40
2082,117,346,107
1428,114,233,48
2715,54,231,19
1870,180,338,53
2181,57,191,30
2264,144,268,60
2649,202,128,93
2380,191,300,67
1311,101,232,47
789,143,329,93
1178,113,299,88
1800,170,138,158
2945,165,393,64
2116,110,191,142
1697,73,336,64
2925,164,244,141
897,176,400,104
3153,198,216,100
1668,177,228,87
3292,162,172,14
2035,199,315,26
828,169,141,107
910,119,108,134
3038,63,386,83
2558,126,245,108
1199,62,241,42
2021,84,233,62
1290,176,208,55
2097,84,166,72
1739,103,211,63
1968,109,198,90
1376,55,374,106
1684,104,292,145
2033,100,432,159
2393,156,219,53
1815,95,304,121
2335,134,364,158
1083,179,435,101
2156,161,219,58
951,133,171,76
1617,79,314,125
2253,180,277,59
915,105,136,51
2290,194,279,28
851,135,287,75
3038,164,353,98
987,103,156,161
3129,88,296,15
918,144,256,74
1220,184,281,112
1655,112,404,84
939,155,239,80
1223,164,247,118
2768,92,244,96
2095,87,271,100
3069,183,361,125
1349,186,83,39
1838,57,288,29
2550,104,120,109
3023,98,181,79
1842,133,147,39
2445,151,344,23
2181,118,200,98
2936,147,262,122
2765,165,137,46
1597,173,340,101
1782,165,324,109
2505,194,200,53
1832,193,235,111
1897,122,131,105
1681,119,80,138
2941,133,328,90
2317,77,264,79
1626,61,269,108
2676,120,301,112
1779,104,124,31
2381,184,352,104
1549,134,340,112
1106,107,165,67
3074,77,347,79
1365,126,231,97
3214,101,364,133
1642,89,132,113
1347,137,366,102
1760,71,322,92
1335,129,201,145
3063,193,140,67
1954,179,175,144
1812,162,117,131
2769,144,203,158
1634,108,196,90
2552,201,284,83
2795,145,389,47
2766,172,335,76
1620,96,60,76
1177,75,226,113
1741,79,139,154
2387,144,256,31
3274,194,297,55
2974,191,176,33
1471,178,371,60
3053,52,193,112
1313,89,107,115
2964,122,261,132
